,date,ML1,ADM0_EN,ADM1_EN,ADM2_EN
75,2009-07-01,4.0,Ethiopia,Somali,Afder
76,2009-07-01,4.0,Ethiopia,Gambela,Agnewak
2,2009-07-01,3.0,Ethiopia,SNNP,Alle
3,2009-07-01,3.0,Ethiopia,SNNP,Amaro
4,2009-07-01,3.0,Ethiopia,Oromia,Arsi
77,2009-07-01,4.0,Ethiopia,Oromia,Bale
6,2009-07-01,3.0,Ethiopia,SNNP,Basketo
7,2009-07-01,3.0,Ethiopia,SNNP,Bench Maji
78,2009-07-01,4.0,Ethiopia,Oromia,Borena
9,2009-07-01,3.0,Ethiopia,Oromia,Buno Bedele
10,2009-07-01,3.0,Ethiopia,SNNP,Burji
11,2009-07-01,3.0,Ethiopia,Tigray,Central
12,2009-07-01,3.0,Ethiopia,Amhara,Central Gondar
79,2009-07-01,4.0,Ethiopia,Somali,Daawa
14,2009-07-01,3.0,Ethiopia,SNNP,Dawuro
15,2009-07-01,3.0,Ethiopia,SNNP,Derashe
16,2009-07-01,3.0,Ethiopia,Dire Dawa,Dire Dawa rural
17,2009-07-01,3.0,Ethiopia,Amhara,East Gojam
81,2009-07-01,4.0,Ethiopia,Oromia,East Hararge
19,2009-07-01,3.0,Ethiopia,Oromia,East Shewa
20,2009-07-01,3.0,Ethiopia,Oromia,East Wellega
21,2009-07-01,3.0,Ethiopia,Tigray,Eastern
82,2009-07-01,4.0,Ethiopia,Somali,Erer
23,2009-07-01,3.0,Ethiopia,Gambela,Etang Special woreda
83,2009-07-01,4.0,Ethiopia,Somali,Fafan
25,2009-07-01,3.0,Ethiopia,SNNP,Gamo
26,2009-07-01,3.0,Ethiopia,SNNP,Gedeo
27,2009-07-01,3.0,Ethiopia,SNNP,Gofa
28,2009-07-01,3.0,Ethiopia,Oromia,Guji
29,2009-07-01,3.0,Ethiopia,SNNP,Guraghe
30,2009-07-01,3.0,Ethiopia,SNNP,Hadiya
31,2009-07-01,3.0,Ethiopia,SNNP,Halaba Special
32,2009-07-01,3.0,Ethiopia,Harari,Harari
33,2009-07-01,3.0,Ethiopia,Oromia,Ilu Aba Bora
84,2009-07-01,4.0,Ethiopia,Somali,Jarar
35,2009-07-01,3.0,Ethiopia,Oromia,Jimma
36,2009-07-01,3.0,Ethiopia,SNNP,Kefa
37,2009-07-01,3.0,Ethiopia,Benishangul Gumz,Kemashi
38,2009-07-01,3.0,Ethiopia,SNNP,Kembata Tibaro
39,2009-07-01,3.0,Ethiopia,SNNP,Konso
40,2009-07-01,3.0,Ethiopia,SNNP,Konta Special
86,2009-07-01,4.0,Ethiopia,Somali,Liban
42,2009-07-01,3.0,Ethiopia,Gambela,Mejenger
43,2009-07-01,3.0,Ethiopia,Tigray,Mekele Special
44,2009-07-01,3.0,Ethiopia,SNNP,Mirab Omo
87,2009-07-01,4.0,Ethiopia,Somali,Nogob
46,2009-07-01,3.0,Ethiopia,Amhara,North Gondar
47,2009-07-01,3.0,Ethiopia,Amhara,North Shewa
48,2009-07-01,3.0,Ethiopia,Amhara,North Wello
49,2009-07-01,3.0,Ethiopia,Tigray,North Western
88,2009-07-01,4.0,Ethiopia,Gambela,Nuwer
51,2009-07-01,3.0,Ethiopia,Amhara,Oromia
89,2009-07-01,4.0,Ethiopia,Somali,Shabelle
53,2009-07-01,3.0,Ethiopia,SNNP,Sidama
54,2009-07-01,3.0,Ethiopia,SNNP,Siltie
55,2009-07-01,3.0,Ethiopia,Somali,Siti
56,2009-07-01,3.0,Ethiopia,Tigray,South Eastern
57,2009-07-01,3.0,Ethiopia,Amhara,South Gondar
90,2009-07-01,4.0,Ethiopia,SNNP,South Omo
59,2009-07-01,3.0,Ethiopia,Amhara,South Wello
60,2009-07-01,3.0,Ethiopia,Oromia,South West Shewa
61,2009-07-01,3.0,Ethiopia,Tigray,Southern
62,2009-07-01,3.0,Ethiopia,Amhara,Wag Hamra
63,2009-07-01,3.0,Ethiopia,Oromia,West Arsi
64,2009-07-01,3.0,Ethiopia,Oromia,West Guji
65,2009-07-01,3.0,Ethiopia,Oromia,West Hararge
66,2009-07-01,3.0,Ethiopia,Oromia,West Wellega
67,2009-07-01,3.0,Ethiopia,Tigray,Western
68,2009-07-01,3.0,Ethiopia,SNNP,Wolayita
69,2009-07-01,3.0,Ethiopia,SNNP,Yem Special
70,2009-07-01,3.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
71,2009-07-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
72,2009-07-01,3.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
73,2009-07-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
74,2009-07-01,3.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
80,2009-07-01,4.0,Ethiopia,Somali,Doolo
85,2009-07-01,4.0,Ethiopia,Somali,Korahe
4927,2009-07-01,2.0,Ethiopia,Oromia,Finfine Special
4894,2009-07-01,1.0,Ethiopia,Addis Ababa,Region 14
4902,2009-07-01,1.0,Ethiopia,Amhara,West Gojam
4920,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
4932,2009-07-01,2.0,Ethiopia,Oromia,Horo Gudru Wellega
4938,2009-07-01,2.0,Ethiopia,Benishangul Gumz,Mao Komo Special
4943,2009-07-01,2.0,Ethiopia,Oromia,North Shewa
4958,2009-07-01,2.0,Ethiopia,Oromia,West Shewa
4912,2009-07-01,2.0,Ethiopia,Benishangul Gumz,Asosa
4934,2009-07-01,2.0,Ethiopia,Oromia,Kelem Wellega
4939,2009-07-01,2.0,Ethiopia,Benishangul Gumz,Metekel
4895,2009-07-01,1.0,Ethiopia,SNNP,Sheka
4903,2009-07-01,1.0,Ethiopia,Amhara,West Gondar
4860,2009-07-01,1.0,Ethiopia,Amhara,Awi
138,2009-10-01,4.0,Ethiopia,Somali,Afder
108,2009-10-01,3.0,Ethiopia,Gambela,Agnewak
109,2009-10-01,3.0,Ethiopia,SNNP,Alle
110,2009-10-01,3.0,Ethiopia,SNNP,Amaro
5023,2009-10-01,2.0,Ethiopia,Oromia,Arsi
111,2009-10-01,3.0,Ethiopia,Oromia,Bale
5025,2009-10-01,2.0,Ethiopia,SNNP,Basketo
112,2009-10-01,3.0,Ethiopia,SNNP,Bench Maji
113,2009-10-01,3.0,Ethiopia,Oromia,Borena
4974,2009-10-01,1.0,Ethiopia,Oromia,Buno Bedele
114,2009-10-01,3.0,Ethiopia,SNNP,Burji
5029,2009-10-01,2.0,Ethiopia,Tigray,Central
5030,2009-10-01,2.0,Ethiopia,Amhara,Central Gondar
115,2009-10-01,3.0,Ethiopia,Somali,Daawa
5031,2009-10-01,2.0,Ethiopia,SNNP,Dawuro
116,2009-10-01,3.0,Ethiopia,SNNP,Derashe
5033,2009-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
5035,2009-10-01,2.0,Ethiopia,Amhara,East Gojam
118,2009-10-01,3.0,Ethiopia,Oromia,East Hararge
5037,2009-10-01,2.0,Ethiopia,Oromia,East Shewa
5038,2009-10-01,2.0,Ethiopia,Oromia,East Wellega
5039,2009-10-01,2.0,Ethiopia,Tigray,Eastern
119,2009-10-01,3.0,Ethiopia,Somali,Erer
120,2009-10-01,3.0,Ethiopia,Gambela,Etang Special woreda
121,2009-10-01,3.0,Ethiopia,Somali,Fafan
122,2009-10-01,3.0,Ethiopia,SNNP,Gamo
5044,2009-10-01,2.0,Ethiopia,SNNP,Gedeo
5045,2009-10-01,2.0,Ethiopia,SNNP,Gofa
123,2009-10-01,3.0,Ethiopia,Oromia,Guji
5047,2009-10-01,2.0,Ethiopia,SNNP,Guraghe
5048,2009-10-01,2.0,Ethiopia,SNNP,Hadiya
5049,2009-10-01,2.0,Ethiopia,SNNP,Halaba Special
5050,2009-10-01,2.0,Ethiopia,Harari,Harari
124,2009-10-01,3.0,Ethiopia,Oromia,Ilu Aba Bora
125,2009-10-01,3.0,Ethiopia,Somali,Jarar
5053,2009-10-01,2.0,Ethiopia,Oromia,Jimma
5054,2009-10-01,2.0,Ethiopia,SNNP,Kefa
4992,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
5055,2009-10-01,2.0,Ethiopia,SNNP,Kembata Tibaro
126,2009-10-01,3.0,Ethiopia,SNNP,Konso
5057,2009-10-01,2.0,Ethiopia,SNNP,Konta Special
140,2009-10-01,4.0,Ethiopia,Somali,Liban
129,2009-10-01,3.0,Ethiopia,Gambela,Mejenger
5060,2009-10-01,2.0,Ethiopia,Tigray,Mekele Special
130,2009-10-01,3.0,Ethiopia,SNNP,Mirab Omo
