,date,ML1,ADM0_EN,ADM1_EN,ADM2_EN
75,2009-07-01,4.0,Ethiopia,Somali,Afder
1,2009-07-01,3.0,Ethiopia,Gambela,Agnewak
2,2009-07-01,3.0,Ethiopia,SNNP,Alle
3,2009-07-01,3.0,Ethiopia,SNNP,Amaro
4,2009-07-01,3.0,Ethiopia,Oromia,Arsi
5,2009-07-01,3.0,Ethiopia,Oromia,Bale
5044,2009-07-01,1.0,Ethiopia,SNNP,Basketo
5045,2009-07-01,1.0,Ethiopia,SNNP,Bench Maji
8,2009-07-01,3.0,Ethiopia,Oromia,Borena
5047,2009-07-01,1.0,Ethiopia,Oromia,Buno Bedele
10,2009-07-01,3.0,Ethiopia,SNNP,Burji
5098,2009-07-01,2.0,Ethiopia,Tigray,Central
5048,2009-07-01,1.0,Ethiopia,Amhara,Central Gondar
13,2009-07-01,3.0,Ethiopia,Somali,Daawa
5100,2009-07-01,2.0,Ethiopia,SNNP,Dawuro
15,2009-07-01,3.0,Ethiopia,SNNP,Derashe
5101,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
5050,2009-07-01,1.0,Ethiopia,Amhara,East Gojam
18,2009-07-01,3.0,Ethiopia,Oromia,East Hararge
5051,2009-07-01,1.0,Ethiopia,Oromia,East Shewa
5052,2009-07-01,1.0,Ethiopia,Oromia,East Wellega
21,2009-07-01,3.0,Ethiopia,Tigray,Eastern
82,2009-07-01,4.0,Ethiopia,Somali,Erer
23,2009-07-01,3.0,Ethiopia,Gambela,Etang Special woreda
24,2009-07-01,3.0,Ethiopia,Somali,Fafan
25,2009-07-01,3.0,Ethiopia,SNNP,Gamo
26,2009-07-01,3.0,Ethiopia,SNNP,Gedeo
5111,2009-07-01,2.0,Ethiopia,SNNP,Gofa
28,2009-07-01,3.0,Ethiopia,Oromia,Guji
29,2009-07-01,3.0,Ethiopia,SNNP,Guraghe
30,2009-07-01,3.0,Ethiopia,SNNP,Hadiya
31,2009-07-01,3.0,Ethiopia,SNNP,Halaba Special
5113,2009-07-01,2.0,Ethiopia,Harari,Harari
5061,2009-07-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
84,2009-07-01,4.0,Ethiopia,Somali,Jarar
5062,2009-07-01,1.0,Ethiopia,Oromia,Jimma
5063,2009-07-01,1.0,Ethiopia,SNNP,Kefa
5065,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
38,2009-07-01,3.0,Ethiopia,SNNP,Kembata Tibaro
39,2009-07-01,3.0,Ethiopia,SNNP,Konso
5066,2009-07-01,1.0,Ethiopia,SNNP,Konta Special
86,2009-07-01,4.0,Ethiopia,Somali,Liban
5069,2009-07-01,1.0,Ethiopia,Gambela,Mejenger
43,2009-07-01,3.0,Ethiopia,Tigray,Mekele Special
5122,2009-07-01,2.0,Ethiopia,SNNP,Mirab Omo
87,2009-07-01,4.0,Ethiopia,Somali,Nogob
46,2009-07-01,3.0,Ethiopia,Amhara,North Gondar
5124,2009-07-01,2.0,Ethiopia,Amhara,North Shewa
48,2009-07-01,3.0,Ethiopia,Amhara,North Wello
5127,2009-07-01,2.0,Ethiopia,Tigray,North Western
50,2009-07-01,3.0,Ethiopia,Gambela,Nuwer
51,2009-07-01,3.0,Ethiopia,Amhara,Oromia
89,2009-07-01,4.0,Ethiopia,Somali,Shabelle
53,2009-07-01,3.0,Ethiopia,SNNP,Sidama
54,2009-07-01,3.0,Ethiopia,SNNP,Siltie
55,2009-07-01,3.0,Ethiopia,Somali,Siti
56,2009-07-01,3.0,Ethiopia,Tigray,South Eastern
