,date,ML2,ADM0_EN,ADM1_EN,ADM2_EN
0,2009-07-01,1.0,Malawi,Southern,Balaka
1,2009-07-01,1.0,Malawi,Southern,Blantyre
2,2009-07-01,1.0,Malawi,Southern,Blantyre City
32,2009-07-01,2.0,Malawi,Southern,Chikwawa
4,2009-07-01,1.0,Malawi,Southern,Chiradzulu
5,2009-07-01,1.0,Malawi,Northern,Chitipa
6,2009-07-01,1.0,Malawi,Central,Dedza
7,2009-07-01,1.0,Malawi,Central,Dowa
8,2009-07-01,1.0,Malawi,Northern,Karonga
9,2009-07-01,1.0,Malawi,Central,Kasungu
10,2009-07-01,1.0,Malawi,Central,Lilongwe
11,2009-07-01,1.0,Malawi,Central,Lilongwe City
12,2009-07-01,1.0,Malawi,Southern,Machinga
13,2009-07-01,1.0,Malawi,Southern,Mangochi
14,2009-07-01,1.0,Malawi,Central,Mchinji
15,2009-07-01,1.0,Malawi,Southern,Mulanje
16,2009-07-01,1.0,Malawi,Southern,Mwanza
17,2009-07-01,1.0,Malawi,Northern,Mzimba
18,2009-07-01,1.0,Malawi,Northern,Mzuzu City
19,2009-07-01,1.0,Malawi,Southern,Neno
20,2009-07-01,1.0,Malawi,Northern,Nkhata Bay
21,2009-07-01,1.0,Malawi,Central,Nkhotakota
36,2009-07-01,2.0,Malawi,Southern,Nsanje
23,2009-07-01,1.0,Malawi,Central,Ntcheu
24,2009-07-01,1.0,Malawi,Central,Ntchisi
25,2009-07-01,1.0,Malawi,Southern,Phalombe
26,2009-07-01,1.0,Malawi,Northern,Rumphi
27,2009-07-01,1.0,Malawi,Central,Salima
28,2009-07-01,1.0,Malawi,Southern,Thyolo
29,2009-07-01,1.0,Malawi,Southern,Zomba
30,2009-07-01,1.0,Malawi,Southern,Zomba City
2612,2009-07-01,,Malawi,Northern,Likoma
46,2009-10-01,1.0,Malawi,Southern,Balaka
47,2009-10-01,1.0,Malawi,Southern,Blantyre
48,2009-10-01,1.0,Malawi,Southern,Blantyre City
79,2009-10-01,3.0,Malawi,Southern,Chikwawa
50,2009-10-01,1.0,Malawi,Southern,Chiradzulu
51,2009-10-01,1.0,Malawi,Northern,Chitipa
52,2009-10-01,1.0,Malawi,Central,Dedza
53,2009-10-01,1.0,Malawi,Central,Dowa
54,2009-10-01,1.0,Malawi,Northern,Karonga
55,2009-10-01,1.0,Malawi,Central,Kasungu
56,2009-10-01,1.0,Malawi,Central,Lilongwe
57,2009-10-01,1.0,Malawi,Central,Lilongwe City
58,2009-10-01,1.0,Malawi,Southern,Machinga
59,2009-10-01,1.0,Malawi,Southern,Mangochi
60,2009-10-01,1.0,Malawi,Central,Mchinji
61,2009-10-01,1.0,Malawi,Southern,Mulanje
62,2009-10-01,1.0,Malawi,Southern,Mwanza
63,2009-10-01,1.0,Malawi,Northern,Mzimba
64,2009-10-01,1.0,Malawi,Northern,Mzuzu City
65,2009-10-01,1.0,Malawi,Southern,Neno
66,2009-10-01,1.0,Malawi,Northern,Nkhata Bay
67,2009-10-01,1.0,Malawi,Central,Nkhotakota
83,2009-10-01,3.0,Malawi,Southern,Nsanje
69,2009-10-01,1.0,Malawi,Central,Ntcheu
